id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1266031972796661760,Thu May 28 15:41:58 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @pikiran_rakyat: Masih Berstatus Zona Merah, Pemkot Cimahi Bakal Perpanjang Masa PSBB https://t.co/mHZDDZ69JI",berstatus zona merah pemerintah kota cimahi perpanjang psbb,in,0,2,itsitin,False,,pikiran_rakyat,,
1266031968317108224,Thu May 28 15:41:57 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nuicemedia: All of West Java except Jakarta’s annex sub… we mean Bogor, Depok, and Bekasi, will have PSBB extended until 12 June. The t…",all of west java except jakarta s annex sub we mean bogor depok and bekasi will have psbb extended until june t,en,0,57,agungprats,,,nuicemedia,Depok,
1266031930702614528,Thu May 28 15:41:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,788,kecapasiinn,False,,Praz_Teguh,,
1266031924528640000,Thu May 28 15:41:47 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Masih gk stabilkan? Makanya ada rasa deg degan sendiri kalau DKI jadi New Normal kayaknya biarin PSBB dulu deh sampai akhir Juni https://t.co/KlMsDfTgiK,gk stabilkan deg degan dki new normal kayaknya biarin psbb deh,in,0,0,cheseechip,False,,,Earth Allah,
1266031910146289665,Thu May 28 15:41:43 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","New normal pala kau, otw psbb tahap 4,5,6dst🙂🙏🏻","new normal kepala on the way, sedang di jalan psbb tahap dan seterusnya",in,0,0,pipinaplee,,,,,
1266031901648666625,Thu May 28 15:41:41 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Terus aja anjir psbb diperpanjang,anjing psbb diperpanjang,in,0,0,nadskiiii,,,,Bandung,
1266031897882226688,Thu May 28 15:41:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bagus, zona merahnya melebar tross. Mau psbb mau new normal udh ga ada guna bagi warga.",bagus zona merahnya melebar tross psbb new normal ga warga,in,0,788,mrtrahman_,,,,"Bangkalan, Indonesia",
1266031881176231937,Thu May 28 15:41:36 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@itssalsaas Sebenernya ada tpi tanggu mau di lanjutin lgi psbb,sebenernya tanggu lanjutin psbb,in,0,0,soonnya3,,,itssalsaas,,
1266031868329091072,Thu May 28 15:41:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,788,fjrimaulana,False,,Praz_Teguh,Indonesia,
1266031859550437376,Thu May 28 15:41:31 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @andreasharsono: Sejumlah orang tua kuatir dgn wacana pemerintah buka kembali sekolah, khawatir anak terpapar #Covid19. Jumlah anak meni…",tua kuatir wacana pemerintah buka sekolah khawatir anak terpapar anak meni,in,0,10,agama_nusantara,,Covid19,andreasharsono,Indonesia Tanah Air Ku ,
